-0.189,-0.150,-0.165,-0.133,-0.662,-0.069,-0.478,0.113,-0.202,-0.329,-0.566,0.006,-0.355,0.078
-0.060,-0.280,-0.016,0.030,-0.416,-0.005,-0.374,0.284,-0.230,-0.348,-0.506,0.022,-0.383,0.049
-0.014,-0.057,0.223,0.056,-0.361,0.010,-0.245,0.224,0.006,-0.164,-0.425,0.005,-0.285,0.330
0.104,-0.008,0.150,0.225,-0.328,0.109,-0.111,0.314,0.101,-0.134,-0.269,0.080,-0.104,0.377
0.095,0.078,0.175,0.314,-0.307,0.002,-0.184,0.202,-0.015,0.014,-0.352,0.161,-0.088,0.294
0.042,-0.297,-0.053,0.186,-0.403,-0.128,-0.352,0.175,-0.090,-0.225,-0.372,0.006,-0.433,0.093
0.145,-0.138,0.125,0.074,-0.429,-0.014,-0.201,0.369,0.035,-0.235,-0.364,0.053,-0.362,0.232
-0.044,-0.162,0.087,0.136,-0.401,-0.035,-0.256,0.223,-0.011,-0.136,-0.505,-0.029,-0.443,0.210
-0.003,-0.246,-0.071,0.160,-0.510,0.027,-0.202,0.270,-0.076,-0.089,-0.373,0.003,-0.367,0.242
-0.027,-0.030,0.098,-0.005,-0.643,-0.032,-0.237,0.215,-0.069,-0.134,-0.450,-0.043,-0.321,0.170
0.069,-0.124,0.064,0.196,-0.599,-0.028,-0.135,0.183,0.110,-0.148,-0.504,0.059,-0.289,0.195
-0.061,-0.345,-0.136,0.023,-0.469,-0.080,-0.365,0.179,-0.157,-0.128,-0.604,-0.110,-0.487,0.130
-0.009,-0.401,-0.158,-0.092,-0.723,-0.129,-0.420,0.148,-0.341,-0.144,-0.530,-0.131,-0.555,0.108
-0.268,-0.417,-0.206,-0.136,-0.769,-0.222,-0.390,0.033,-0.189,-0.314,-0.449,-0.101,-0.648,0.059
-0.186,-0.386,-0.197,-0.185,-0.704,-0.205,-0.501,0.110,-0.261,-0.341,-0.618,-0.194,-0.537,-0.070
-0.183,-0.220,-0.208,-0.140,-0.731,-0.119,-0.300,0.158,-0.132,-0.191,-0.685,-0.215,-0.543,-0.003
0.075,-0.107,0.058,0.124,-0.466,0.071,-0.269,0.422,-0.021,-0.017,-0.359,-0.055,-0.183,0.203
0.341,0.034,0.297,0.402,-0.278,0.088,-0.135,0.396,0.147,0.066,-0.204,0.197,-0.227,0.298
0.316,0.214,0.362,0.402,-0.036,0.241,-0.172,0.555,0.238,0.034,0.035,0.232,-0.090,0.505
0.077,-0.025,0.089,0.182,-0.184,0.152,-0.154,0.316,0.195,-0.064,-0.248,0.050,-0.178,0.408
0.045,0.077,0.143,0.289,-0.269,0.033,-0.153,0.338,0.105,-0.157,-0.229,0.130,-0.203,0.421
0.086,-0.092,0.134,0.213,-0.453,0.053,-0.072,0.316,-0.100,-0.088,-0.250,0.072,-0.274,0.414
-0.079,-0.219,-0.073,-0.010,-0.518,-0.077,-0.318,0.201,-0.285,-0.242,-0.440,0.067,-0.385,0.155
0.117,-0.058,0.003,-0.001,-0.323,0.100,-0.248,0.377,-0.097,-0.101,-0.361,-0.069,-0.305,0.255
-0.139,-0.187,0.043,0.034,-0.352,-0.163,-0.488,0.112,-0.247,-0.184,-0.480,-0.126,-0.487,0.183
0.012,-0.103,0.102,0.232,-0.462,0.020,-0.255,0.365,-0.039,-0.260,-0.463,0.032,-0.405,0.136
-0.048,-0.144,0.073,-0.002,-0.507,0.048,-0.224,0.117,-0.167,-0.297,-0.540,-0.086,-0.277,0.175
-0.046,-0.215,0.093,0.132,-0.410,0.010,-0.397,0.257,-0.150,-0.239,-0.464,-0.100,-0.328,0.225
0.084,-0.071,0.129,0.245,-0.398,-0.053,-0.394,0.223,-0.002,-0.195,-0.303,0.035,-0.302,0.250
0.018,-0.180,0.050,0.119,-0.407,0.181,-0.380,0.354,0.023,-0.154,-0.388,0.067,-0.426,0.201
0.065,0.072,0.093,0.138,-0.221,0.015,-0.179,0.355,0.073,-0.038,-0.319,0.106,-0.136,0.396
0.024,-0.018,0.075,0.003,-0.569,-0.054,-0.347,0.387,-0.079,-0.097,-0.445,0.069,-0.219,0.112
-0.279,-0.219,-0.009,-0.039,-0.625,-0.190,-0.330,0.243,-0.198,-0.211,-0.530,-0.089,-0.381,0.123
-0.003,-0.317,-0.009,-0.077,-0.649,-0.101,-0.452,0.119,-0.123,-0.217,-0.571,-0.059,-0.353,0.059
0.175,-0.077,0.126,0.070,-0.333,-0.007,-0.090,0.364,0.020,0.045,-0.268,0.139,-0.214,0.206
-0.063,-0.125,0.085,0.222,-0.270,0.149,-0.091,0.302,-0.044,-0.033,-0.349,0.110,-0.138,0.226
0.155,-0.184,0.110,0.191,-0.265,0.072,-0.134,0.537,-0.032,0.027,-0.354,0.098,-0.292,0.288
0.203,0.137,0.259,0.402,-0.275,0.338,-0.037,0.505,0.229,0.222,-0.128,0.303,-0.029,0.522
0.278,0.114,0.299,0.329,-0.186,0.147,0.032,0.438,0.294,0.072,0.002,0.208,0.042,0.537
0.182,0.258,0.270,0.346,-0.186,0.221,0.036,0.573,0.294,0.125,-0.038,0.145,-0.035,0.439
0.209,0.091,0.444,0.412,-0.200,0.208,-0.014,0.569,0.306,0.227,-0.114,0.247,0.040,0.422
0.304,0.350,0.569,0.669,0.069,0.464,0.079,0.732,0.379,0.327,-0.180,0.390,0.052,0.583
0.268,0.015,0.264,0.326,-0.393,0.125,-0.018,0.423,0.198,-0.102,-0.284,0.228,-0.170,0.435
0.367,0.185,0.304,0.458,-0.295,0.277,0.018,0.747,0.118,0.154,0.067,0.381,-0.148,0.609
0.142,0.234,0.291,0.482,-0.265,0.261,-0.154,0.608,0.249,0.055,-0.129,0.216,-0.171,0.467
-0.146,-0.007,0.234,0.238,-0.365,0.115,-0.198,0.325,0.018,-0.003,-0.316,-0.176,-0.312,0.215
0.292,0.116,0.345,0.442,-0.084,0.358,0.102,0.569,0.220,0.094,-0.189,0.217,-0.052,0.360
0.341,0.212,0.367,0.413,-0.038,0.383,0.016,0.482,0.155,0.186,-0.243,0.329,0.053,0.440
0.274,0.160,0.293,0.458,-0.043,0.318,0.029,0.556,0.203,0.121,-0.132,0.393,-0.022,0.535
-0.056,-0.020,0.181,0.267,-0.206,0.159,-0.069,0.327,0.035,0.007,-0.307,0.151,-0.236,0.406
-0.103,-0.161,-0.116,0.035,-0.418,-0.076,-0.389,0.194,-0.021,-0.284,-0.435,-0.054,-0.455,0.252
-0.144,-0.210,-0.115,0.094,-0.393,0.009,-0.494,0.342,-0.221,-0.258,-0.563,-0.065,-0.423,0.284
0.075,-0.167,0.116,0.330,-0.326,0.216,-0.169,0.341,0.020,0.001,-0.388,-0.048,-0.276,0.285
0.040,-0.093,0.137,0.113,-0.615,0.012,-0.286,0.359,-0.080,-0.256,-0.291,0.094,-0.231,0.331
0.030,-0.043,0.155,0.302,-0.483,0.024,-0.422,0.274,-0.039,-0.169,-0.448,0.003,-0.243,0.184
0.251,0.184,0.243,0.238,-0.142,0.179,-0.168,0.303,0.066,0.066,-0.395,0.128,-0.053,0.305
0.081,0.035,0.121,0.189,-0.377,-0.007,-0.099,0.215,-0.018,-0.103,-0.335,-0.159,-0.342,0.304
-0.064,-0.265,0.166,-0.016,-0.502,-0.005,-0.346,0.198,-0.125,-0.260,-0.561,-0.031,-0.564,0.161
0.151,-0.024,0.138,0.162,-0.234,0.111,-0.238,0.379,0.116,0.030,-0.321,0.234,-0.089,0.326
0.003,-0.196,0.036,0.136,-0.513,-0.033,-0.384,0.255,0.031,-0.128,-0.523,0.004,-0.313,0.167
0.337,0.164,0.426,0.461,-0.153,0.264,-0.128,0.555,0.263,0.147,-0.198,0.136,-0.148,0.493
0.525,0.362,0.453,0.536,-0.078,0.292,0.131,0.746,0.371,0.166,-0.153,0.433,0.132,0.535
0.577,0.358,0.524,0.750,0.184,0.465,0.228,0.768,0.542,0.286,0.185,0.660,0.167,0.796
0.403,0.428,0.468,0.703,0.141,0.497,0.164,0.733,0.492,0.309,0.083,0.531,0.144,0.771
0.402,0.269,0.477,0.586,-0.220,0.312,0.082,0.624,0.249,0.218,-0.177,0.397,-0.069,0.554
-0.019,-0.207,0.027,0.149,-0.437,-0.081,-0.216,0.323,-0.123,-0.130,-0.352,0.035,-0.215,0.155
0.236,0.151,0.248,0.312,-0.070,0.201,-0.065,0.572,0.148,-0.015,-0.061,0.367,-0.020,0.385
0.208,0.115,0.250,0.249,-0.386,0.387,-0.194,0.362,0.086,0.044,-0.351,0.229,-0.277,0.327
0.032,-0.137,0.093,0.306,-0.315,0.084,-0.154,0.272,0.102,-0.052,-0.408,0.108,-0.202,0.360
