-0.362,-0.437,-0.109,-0.287,-0.501,-0.424,-0.648,-0.177
-0.451,-0.481,-0.246,-0.273,-0.666,-0.379,-0.853,-0.226
-0.172,-0.168,-0.021,0.047,-0.448,-0.028,-0.461,0.158
0.044,0.101,0.264,0.271,-0.116,0.054,-0.300,0.323
0.103,0.070,0.297,0.220,-0.147,0.152,-0.248,0.393
0.169,0.103,0.366,0.310,-0.164,0.276,-0.139,0.398
0.389,0.342,0.401,0.448,0.049,0.352,-0.045,0.542
0.381,0.313,0.569,0.497,0.020,0.389,-0.011,0.621
0.359,0.285,0.615,0.596,0.047,0.461,0.059,0.700
0.323,0.308,0.541,0.543,0.053,0.387,-0.004,0.703
0.090,-0.020,0.281,0.186,-0.223,0.057,-0.426,0.313
-0.163,-0.175,0.023,-0.071,-0.372,-0.054,-0.550,0.150
-0.120,-0.264,0.114,0.127,-0.246,-0.009,-0.419,0.220
-0.235,-0.379,-0.049,-0.098,-0.391,-0.101,-0.712,-0.005
-0.037,-0.191,0.237,0.061,-0.379,-0.062,-0.448,0.085
-0.143,-0.417,-0.131,-0.152,-0.599,-0.228,-0.612,-0.094
-0.044,0.062,0.192,0.107,-0.241,0.096,-0.342,0.226
0.534,0.481,0.694,0.639,0.259,0.490,-0.076,0.716
0.215,0.257,0.521,0.562,-0.064,0.342,-0.189,0.646
0.432,0.370,0.791,0.637,0.169,0.565,-0.043,0.700
0.409,0.248,0.591,0.575,0.086,0.465,-0.150,0.632
0.136,0.125,0.391,0.328,-0.113,0.190,-0.346,0.479
-0.027,-0.068,0.259,0.249,-0.243,0.103,-0.408,0.237
-0.077,-0.049,0.303,0.213,-0.221,0.149,-0.358,0.157
-0.135,-0.056,0.181,0.163,-0.337,0.104,-0.475,0.228
-0.212,-0.443,-0.017,-0.116,-0.636,-0.302,-0.721,-0.079
-0.526,-0.648,-0.321,-0.273,-0.596,-0.335,-0.875,-0.143
-0.656,-0.677,-0.383,-0.487,-0.865,-0.573,-1.038,-0.282
-0.420,-0.412,-0.256,-0.192,-0.700,-0.421,-0.920,-0.160
-0.336,-0.418,-0.134,-0.163,-0.571,-0.319,-0.857,-0.070
-0.434,-0.444,-0.261,-0.309,-0.653,-0.445,-1.023,-0.170
-0.526,-0.573,-0.236,-0.420,-0.725,-0.460,-1.054,-0.246
-0.532,-0.904,-0.263,-0.526,-0.935,-0.542,-1.032,-0.273
-0.739,-0.846,-0.551,-0.598,-1.058,-0.732,-1.246,-0.518
-0.276,-0.287,-0.089,-0.108,-0.572,-0.271,-0.671,0.048
-0.374,-0.372,-0.133,-0.134,-0.588,-0.346,-0.650,0.014
-0.115,-0.183,0.076,-0.003,-0.308,-0.095,-0.503,0.079
-0.256,-0.425,-0.047,-0.121,-0.540,-0.152,-0.644,-0.000
-0.347,-0.400,0.051,-0.060,-0.563,-0.215,-0.698,0.028
-0.376,-0.297,0.006,-0.121,-0.454,-0.301,-0.658,0.052
-0.427,-0.561,-0.333,-0.332,-0.785,-0.501,-0.693,-0.173
-0.355,-0.169,-0.083,-0.053,-0.614,-0.391,-0.617,-0.098
0.124,0.093,0.215,0.220,-0.116,0.095,-0.251,0.383
0.344,0.340,0.551,0.515,0.126,0.317,-0.058,0.594
0.425,0.304,0.635,0.689,0.139,0.549,-0.022,0.702
0.436,0.633,0.773,0.675,0.307,0.655,0.100,0.851
0.553,0.552,0.746,0.775,0.190,0.666,0.176,0.953
0.584,0.548,0.880,0.820,0.465,0.761,0.344,0.983
0.569,0.546,0.818,0.777,0.359,0.642,0.035,0.881
0.336,0.397,0.612,0.574,0.157,0.434,-0.071,0.669
0.333,0.391,0.575,0.441,0.150,0.393,-0.084,0.658
0.731,0.621,0.939,0.849,0.402,0.762,0.306,0.910
