0.202,0.262,1.028,0.569,-0.061,1.012,0.557,-0.610,0.728,0.287,0.918,1.440,0.063,0.704,0.416,1.163,0.066,0.277,-1.452,1.863,-1.402,-0.197,0.819,1.250,-0.042,-0.804,1.659,0.464,1.285,0.394,-0.386,2.006,-0.078,0.015,0.818,0.966
0.355,0.181,0.976,0.643,-0.204,0.994,0.504,-0.485,0.716,0.455,0.838,1.351,-0.142,0.882,0.226,1.198,0.160,-0.017,-1.325,1.922,-1.578,-0.316,0.900,1.226,-0.472,-0.981,2.061,0.216,1.399,0.416,-0.409,1.902,0.029,0.022,0.927,0.980
0.458,0.151,0.939,0.778,-0.186,0.815,0.408,-0.616,0.777,0.355,0.843,1.372,-0.017,1.020,0.064,1.004,0.292,0.068,-1.582,2.169,-1.799,-0.442,0.857,1.261,-0.586,-1.389,2.395,0.287,1.375,0.343,-0.464,2.000,-0.030,-0.210,1.222,0.945
0.299,0.107,1.100,0.704,-0.083,0.768,0.144,-0.673,1.080,0.349,0.882,1.400,0.000,0.927,0.197,0.798,0.528,0.121,-1.805,2.558,-2.139,-0.355,0.778,1.339,-0.354,-1.248,2.300,0.444,1.210,0.490,-0.693,2.352,-0.430,-0.377,1.507,1.010
0.053,0.288,1.223,0.477,-0.074,1.040,0.369,-0.702,1.039,0.190,0.973,1.664,0.232,0.728,0.323,0.931,0.555,-0.058,-1.655,2.411,-1.994,-0.269,0.930,1.128,-0.277,-1.054,1.972,0.502,1.267,0.387,-0.514,2.179,-0.358,0.227,1.003,0.755
0.025,0.443,0.917,0.534,0.040,0.697,0.475,-0.662,0.905,0.348,0.873,1.450,0.146,0.525,0.742,0.932,0.550,-0.040,-1.196,2.126,-1.860,-0.261,0.949,1.091,-0.179,-0.826,1.770,0.338,1.497,0.461,-0.537,2.177,-0.194,-0.053,1.330,0.922
-0.079,0.665,0.878,0.404,-0.171,0.952,0.892,-0.810,0.603,0.332,0.869,1.410,0.545,0.382,0.495,0.629,0.694,0.159,-1.650,2.398,-2.057,-0.396,1.029,1.139,0.069,-0.855,1.645,0.151,1.678,0.422,-0.756,2.441,-0.346,0.126,1.006,1.039
-0.040,0.760,0.742,0.285,-0.112,1.076,1.123,-0.992,0.589,0.313,1.024,1.279,0.417,0.529,0.580,0.660,0.657,0.136,-0.834,1.836,-1.465,-0.268,1.032,1.085,0.159,-0.946,1.218,0.116,1.651,0.473,-0.734,2.262,-0.362,0.261,1.050,0.626
-0.142,0.618,0.966,0.262,-0.030,0.973,1.372,-0.962,0.233,0.165,1.012,1.265,0.335,0.701,0.516,0.630,0.468,0.440,-0.847,1.812,-1.788,-0.267,0.982,1.231,0.094,-0.693,1.150,0.187,1.557,0.528,-0.677,2.258,-0.236,0.570,0.713,0.719
-0.199,0.548,1.095,0.420,0.155,0.779,1.300,-0.914,0.335,0.241,1.049,1.128,0.231,0.636,0.509,0.559,0.554,0.285,-0.839,2.031,-1.802,-0.512,1.021,1.262,0.167,-0.781,1.090,0.055,1.556,0.589,-0.684,2.098,-0.137,0.165,0.872,1.007
-0.002,0.500,1.061,0.634,0.027,0.731,1.182,-0.717,0.572,0.079,1.198,1.001,0.531,0.405,0.295,0.581,0.368,0.314,-0.725,2.017,-1.762,-0.422,1.004,1.224,0.075,-0.724,1.194,0.053,1.543,0.506,-0.484,1.881,0.079,0.132,0.818,0.938
0.063,0.601,0.927,0.357,0.100,0.800,1.516,-0.564,0.088,0.041,1.230,0.929,0.753,0.187,0.354,0.750,0.238,0.377,-0.376,1.642,-1.379,-0.345,1.056,1.092,0.096,-0.823,1.231,0.171,1.548,0.491,-0.494,1.871,0.081,0.805,0.206,0.823
-0.046,0.745,0.857,0.468,0.107,0.642,1.604,-0.700,-0.175,0.227,1.289,0.656,0.417,0.155,0.630,0.549,0.376,0.252,-0.200,1.556,-1.290,-0.357,1.116,1.147,-0.046,-0.805,1.366,-0.040,1.877,0.311,-0.635,1.697,0.185,0.694,0.460,0.867
-0.009,0.770,0.870,0.427,0.411,0.473,1.516,-0.413,-0.252,0.267,1.364,0.746,0.435,-0.078,0.726,0.701,0.074,0.258,0.003,1.372,-1.220,-0.359,0.993,1.319,0.001,-0.593,1.251,0.053,1.812,0.239,-0.488,1.721,0.081,0.407,0.499,0.973
-0.049,1.084,0.686,0.526,0.504,0.426,1.373,-0.252,-0.280,0.335,1.306,0.815,0.629,0.078,0.450,0.729,0.085,0.313,-0.137,1.537,-1.338,-0.382,1.034,1.215,-0.089,-0.197,1.131,0.062,1.877,0.177,-0.266,1.686,0.074,0.525,0.253,1.177
0.026,0.886,0.738,0.644,0.432,0.517,1.054,-0.005,0.033,0.504,1.338,0.763,0.482,0.201,0.379,0.640,-0.015,0.525,-0.131,1.435,-1.303,-0.540,1.243,1.094,0.004,-0.292,0.905,0.037,2.001,0.125,-0.405,1.769,0.040,0.656,0.164,1.076
