0.043,0.030,0.062,0.053,0.033,0.047,0.030,0.071,0.033,0.027,0.027,0.037,0.044,0.059,0.027,0.033,0.034,0.036,0.029,0.052,0.035,0.038,0.027,0.063,0.028
0.041,0.039,0.063,0.052,0.040,0.060,0.029,0.069,0.031,0.029,0.026,0.033,0.040,0.055,0.028,0.025,0.023,0.046,0.027,0.049,0.040,0.038,0.031,0.056,0.032
0.033,0.030,0.052,0.053,0.036,0.052,0.032,0.073,0.028,0.029,0.033,0.040,0.032,0.056,0.028,0.028,0.026,0.053,0.028,0.053,0.044,0.037,0.027,0.065,0.034
0.039,0.031,0.054,0.058,0.034,0.056,0.032,0.063,0.039,0.036,0.033,0.040,0.029,0.065,0.028,0.032,0.026,0.040,0.028,0.050,0.034,0.032,0.025,0.064,0.031
0.042,0.030,0.058,0.057,0.043,0.049,0.029,0.061,0.040,0.035,0.028,0.037,0.032,0.061,0.029,0.032,0.026,0.042,0.031,0.045,0.031,0.034,0.031,0.067,0.028
0.039,0.036,0.060,0.059,0.040,0.044,0.031,0.068,0.043,0.029,0.026,0.033,0.035,0.061,0.030,0.032,0.034,0.038,0.027,0.045,0.035,0.035,0.030,0.066,0.024
0.030,0.034,0.065,0.063,0.036,0.050,0.028,0.065,0.031,0.030,0.029,0.035,0.036,0.065,0.029,0.028,0.035,0.046,0.028,0.039,0.035,0.038,0.025,0.067,0.032
0.039,0.041,0.062,0.059,0.037,0.049,0.026,0.065,0.031,0.027,0.028,0.033,0.036,0.053,0.029,0.025,0.039,0.042,0.026,0.042,0.040,0.042,0.031,0.062,0.034
0.038,0.038,0.051,0.062,0.038,0.047,0.030,0.073,0.036,0.039,0.031,0.037,0.030,0.055,0.030,0.025,0.028,0.035,0.036,0.052,0.043,0.030,0.028,0.061,0.028
0.042,0.033,0.054,0.063,0.032,0.053,0.033,0.069,0.035,0.029,0.032,0.031,0.032,0.056,0.031,0.032,0.031,0.037,0.035,0.043,0.035,0.034,0.030,0.064,0.034
0.039,0.032,0.057,0.062,0.034,0.056,0.023,0.066,0.037,0.028,0.027,0.043,0.029,0.056,0.031,0.025,0.030,0.043,0.035,0.054,0.035,0.034,0.028,0.066,0.028
0.039,0.037,0.056,0.058,0.034,0.053,0.027,0.061,0.033,0.029,0.032,0.035,0.036,0.060,0.029,0.027,0.026,0.045,0.035,0.054,0.042,0.034,0.021,0.070,0.028
0.047,0.034,0.051,0.055,0.030,0.044,0.028,0.069,0.033,0.036,0.033,0.035,0.029,0.050,0.022,0.037,0.030,0.043,0.028,0.064,0.040,0.038,0.030,0.066,0.028
0.052,0.037,0.059,0.054,0.039,0.045,0.029,0.055,0.032,0.033,0.032,0.040,0.036,0.057,0.031,0.031,0.032,0.040,0.026,0.048,0.034,0.040,0.025,0.059,0.034
0.042,0.038,0.049,0.055,0.046,0.054,0.028,0.062,0.033,0.028,0.030,0.036,0.046,0.051,0.025,0.030,0.028,0.046,0.027,0.041,0.036,0.042,0.023,0.069,0.037
0.037,0.036,0.054,0.055,0.037,0.046,0.021,0.075,0.036,0.026,0.031,0.037,0.045,0.057,0.027,0.031,0.026,0.044,0.025,0.050,0.035,0.040,0.022,0.075,0.032
0.043,0.037,0.059,0.057,0.038,0.047,0.027,0.062,0.037,0.031,0.036,0.036,0.034,0.057,0.036,0.027,0.032,0.041,0.026,0.046,0.033,0.043,0.024,0.065,0.026
0.032,0.036,0.060,0.045,0.040,0.059,0.032,0.066,0.041,0.028,0.033,0.034,0.033,0.058,0.028,0.035,0.032,0.046,0.026,0.041,0.042,0.038,0.026,0.064,0.024
0.037,0.035,0.059,0.058,0.032,0.051,0.030,0.067,0.040,0.035,0.032,0.029,0.034,0.058,0.029,0.029,0.042,0.034,0.032,0.046,0.032,0.044,0.031,0.054,0.030
0.038,0.036,0.053,0.051,0.039,0.060,0.028,0.058,0.037,0.030,0.027,0.038,0.039,0.050,0.033,0.026,0.037,0.032,0.028,0.053,0.037,0.047,0.024,0.065,0.031
0.041,0.038,0.063,0.051,0.040,0.042,0.028,0.069,0.030,0.028,0.032,0.040,0.035,0.056,0.032,0.027,0.032,0.041,0.031,0.046,0.038,0.042,0.026,0.061,0.031
0.043,0.034,0.069,0.057,0.032,0.050,0.028,0.062,0.033,0.035,0.022,0.037,0.037,0.061,0.030,0.031,0.037,0.040,0.025,0.045,0.032,0.042,0.027,0.062,0.029
0.039,0.037,0.057,0.048,0.038,0.041,0.028,0.064,0.040,0.032,0.023,0.047,0.035,0.058,0.025,0.030,0.036,0.042,0.032,0.049,0.038,0.038,0.027,0.066,0.029
0.041,0.039,0.055,0.066,0.036,0.042,0.023,0.056,0.030,0.032,0.030,0.036,0.040,0.061,0.037,0.029,0.032,0.046,0.032,0.042,0.033,0.049,0.028,0.058,0.027
0.038,0.033,0.060,0.054,0.032,0.060,0.032,0.076,0.029,0.032,0.032,0.038,0.035,0.057,0.029,0.022,0.030,0.040,0.032,0.044,0.041,0.045,0.029,0.057,0.021
0.036,0.039,0.060,0.059,0.041,0.055,0.025,0.055,0.027,0.035,0.034,0.040,0.036,0.059,0.028,0.018,0.029,0.041,0.032,0.041,0.036,0.032,0.033,0.077,0.032
0.037,0.034,0.053,0.060,0.031,0.051,0.031,0.055,0.035,0.031,0.032,0.045,0.034,0.057,0.033,0.024,0.030,0.041,0.034,0.044,0.041,0.040,0.032,0.071,0.026
