0.362,0.233,0.395,0.542,0.095,0.339,-0.128,0.574,0.264,0.056,0.053,0.225,-0.137,0.496,-0.554,-0.599
0.394,0.329,0.582,0.614,-0.047,0.410,0.150,0.657,0.292,0.096,0.183,0.090,0.109,0.633,-0.195,-0.525
-0.027,0.023,0.257,0.229,-0.252,0.093,-0.349,0.165,-0.010,-0.064,-0.259,-0.251,-0.372,0.265,-0.662,-0.701
0.236,-0.069,0.260,0.407,-0.285,0.165,-0.305,0.251,-0.082,-0.210,-0.094,-0.032,-0.330,0.352,-0.599,-0.670
0.050,0.070,-0.025,0.143,-0.326,-0.084,-0.435,0.217,-0.063,-0.141,-0.263,-0.202,-0.415,0.209,-0.680,-0.913
0.110,0.139,0.342,0.168,-0.259,-0.027,-0.301,0.274,-0.180,-0.147,-0.248,-0.142,-0.421,0.279,-0.613,-0.875
-0.090,-0.093,0.139,0.124,-0.432,-0.317,-0.382,0.098,-0.333,-0.158,-0.452,-0.330,-0.517,0.133,-0.782,-0.762
0.003,-0.071,0.036,0.140,-0.427,-0.192,-0.353,0.052,-0.001,-0.211,-0.388,-0.399,-0.485,0.099,-0.930,-0.990
-0.106,-0.201,0.160,0.066,-0.541,-0.157,-0.492,0.001,-0.161,-0.426,-0.503,-0.275,-0.598,0.055,-0.907,-1.024
-0.244,-0.355,-0.028,-0.063,-0.547,-0.267,-0.587,-0.099,-0.382,-0.622,-0.445,-0.397,-0.711,-0.126,-1.195,-1.111
0.022,-0.032,0.018,0.108,-0.348,0.002,-0.339,0.134,-0.170,-0.267,-0.512,-0.370,-0.587,0.047,-0.769,-0.952
-0.006,-0.110,-0.024,-0.032,-0.363,-0.148,-0.467,0.069,-0.338,-0.309,-0.465,-0.274,-0.625,0.090,-0.723,-0.864
0.148,0.012,0.066,0.120,-0.364,0.106,-0.162,0.159,-0.019,-0.249,-0.225,-0.151,-0.579,0.351,-0.499,-0.729
-0.229,-0.147,0.005,0.176,-0.477,-0.196,-0.606,0.069,-0.243,-0.490,-0.300,-0.268,-0.700,0.162,-0.781,-0.877
-0.271,-0.452,-0.139,-0.037,-0.715,-0.348,-0.579,-0.144,-0.442,-0.643,-0.564,-0.590,-1.060,-0.218,-0.993,-0.975
-0.125,-0.176,-0.149,0.051,-0.580,-0.276,-0.348,0.008,-0.363,-0.295,-0.422,-0.506,-0.686,0.070,-0.935,-0.993
-0.138,-0.025,0.008,0.091,-0.450,-0.105,-0.451,0.121,-0.257,-0.392,-0.254,-0.322,-0.677,0.202,-0.579,-0.900
0.097,0.038,0.278,0.178,-0.293,0.005,-0.193,0.257,-0.043,-0.252,-0.242,-0.186,-0.562,0.265,-0.624,-0.697
0.008,-0.034,0.198,0.136,-0.510,-0.121,-0.399,0.230,-0.176,-0.369,-0.250,-0.383,-0.468,0.196,-0.736,-0.532
-0.022,0.005,0.120,0.131,-0.312,-0.090,-0.334,0.193,-0.225,-0.431,-0.346,-0.201,-0.457,0.229,-0.482,-0.882
0.066,-0.150,0.160,0.185,-0.231,0.007,-0.390,-0.021,-0.319,-0.184,-0.268,-0.245,-0.389,0.165,-0.522,-0.783
