0.031,0.033,0.331,0.451,0.264,0.036,-0.291,0.501,0.056,-0.048,-0.416,0.357,-0.332,0.441,-0.396,-0.251,-0.431,-0.027,-0.191,0.244
0.028,0.098,0.206,0.617,0.023,0.112,0.032,0.435,-0.102,0.102,-0.017,0.278,-0.239,0.487,-0.344,-0.399,-0.343,0.041,-0.103,0.342
-0.025,0.062,0.430,0.397,-0.083,0.191,-0.181,0.475,-0.149,0.167,-0.042,0.195,-0.128,0.401,-0.204,-0.425,-0.498,0.015,-0.348,0.232
0.065,0.319,0.441,0.654,0.220,0.167,-0.106,0.732,0.062,0.355,0.067,0.610,0.136,0.781,-0.342,-0.318,-0.482,0.283,0.086,0.339
0.336,0.448,0.556,0.633,0.133,0.173,-0.061,0.750,0.132,0.213,0.008,0.492,0.008,0.641,-0.271,-0.100,-0.254,0.301,0.057,0.301
0.192,0.461,0.627,0.829,0.286,0.248,0.126,0.769,0.253,0.358,-0.043,0.420,0.136,0.691,-0.035,-0.093,-0.051,0.278,0.018,0.529
0.184,0.357,0.547,0.624,0.249,0.336,0.087,0.697,0.195,0.338,0.021,0.470,0.159,0.703,-0.336,-0.164,-0.352,0.232,0.178,0.517
0.334,0.462,0.659,0.776,0.305,0.483,0.163,0.801,0.345,0.523,0.146,0.580,0.174,0.634,0.104,-0.061,-0.168,0.326,0.056,0.581
0.110,0.553,0.549,0.762,0.279,0.434,0.077,0.743,0.169,0.325,0.018,0.486,0.147,0.667,-0.039,-0.237,-0.115,0.329,-0.119,0.414
0.202,0.349,0.522,0.722,0.171,0.306,-0.223,0.703,0.326,0.298,-0.047,0.445,0.218,0.603,-0.014,-0.062,-0.096,0.092,-0.004,0.448
0.032,0.088,0.439,0.384,0.039,0.020,-0.353,0.531,0.113,-0.060,-0.113,0.216,0.019,0.342,-0.395,-0.522,-0.335,-0.251,-0.207,0.261
0.207,0.045,0.325,0.611,0.131,0.072,-0.247,0.479,0.061,0.160,-0.116,0.321,-0.089,0.627,-0.289,-0.476,-0.455,0.077,-0.011,0.397
0.406,0.287,0.685,0.740,0.264,0.364,-0.130,0.856,0.342,0.362,0.074,0.463,0.222,0.826,-0.179,-0.227,-0.170,0.265,0.017,0.397
