0.044,0.054,0.071,0.074,0.049,0.051,0.035,0.071,0.050,0.051,0.036,0.053,0.040,0.066,0.036,0.030,0.033,0.053,0.039,0.062
0.047,0.053,0.064,0.075,0.049,0.060,0.032,0.064,0.050,0.051,0.032,0.055,0.055,0.071,0.027,0.028,0.034,0.051,0.044,0.059
0.054,0.048,0.058,0.072,0.050,0.052,0.036,0.081,0.041,0.049,0.042,0.056,0.046,0.076,0.038,0.028,0.030,0.044,0.039,0.060
0.042,0.054,0.061,0.082,0.046,0.047,0.032,0.077,0.039,0.052,0.052,0.062,0.045,0.075,0.031,0.032,0.025,0.043,0.042,0.059
0.051,0.064,0.066,0.086,0.044,0.045,0.034,0.073,0.030,0.055,0.036,0.058,0.043,0.071,0.036,0.028,0.029,0.049,0.040,0.062
0.046,0.055,0.068,0.079,0.050,0.051,0.031,0.079,0.041,0.055,0.037,0.060,0.046,0.073,0.030,0.033,0.027,0.044,0.035,0.060
0.055,0.062,0.059,0.079,0.054,0.046,0.030,0.086,0.043,0.051,0.033,0.056,0.038,0.071,0.035,0.036,0.031,0.045,0.036,0.054
0.059,0.056,0.062,0.085,0.055,0.053,0.029,0.078,0.043,0.052,0.042,0.056,0.034,0.073,0.032,0.027,0.029,0.043,0.038,0.054
0.055,0.049,0.071,0.079,0.052,0.049,0.035,0.073,0.044,0.056,0.043,0.054,0.042,0.074,0.027,0.027,0.029,0.048,0.033,0.058
0.047,0.055,0.073,0.078,0.047,0.044,0.033,0.082,0.048,0.052,0.038,0.060,0.042,0.072,0.032,0.029,0.029,0.050,0.042,0.047
0.044,0.048,0.062,0.077,0.052,0.056,0.032,0.076,0.043,0.056,0.036,0.056,0.041,0.079,0.037,0.039,0.030,0.047,0.037,0.052
0.050,0.060,0.065,0.079,0.048,0.052,0.039,0.068,0.045,0.053,0.036,0.052,0.036,0.075,0.034,0.032,0.034,0.048,0.032,0.064
0.053,0.048,0.062,0.074,0.048,0.046,0.037,0.078,0.047,0.057,0.046,0.058,0.041,0.074,0.030,0.032,0.026,0.049,0.031,0.061
0.045,0.051,0.063,0.075,0.056,0.053,0.033,0.082,0.045,0.052,0.042,0.058,0.045,0.073,0.028,0.026,0.028,0.056,0.034,0.055
0.047,0.047,0.064,0.080,0.052,0.049,0.041,0.071,0.043,0.049,0.039,0.066,0.041,0.074,0.026,0.038,0.032,0.043,0.036,0.063
0.050,0.056,0.071,0.067,0.049,0.051,0.032,0.067,0.041,0.061,0.040,0.056,0.042,0.082,0.036,0.026,0.030,0.053,0.034,0.055
0.048,0.052,0.071,0.071,0.050,0.044,0.039,0.075,0.042,0.058,0.036,0.057,0.042,0.076,0.028,0.031,0.028,0.046,0.040,0.067
0.047,0.055,0.066,0.073,0.042,0.047,0.029,0.089,0.034,0.053,0.039,0.062,0.041,0.075,0.039,0.032,0.037,0.048,0.035,0.057
0.038,0.054,0.066,0.069,0.050,0.053,0.036,0.089,0.052,0.047,0.043,0.058,0.043,0.067,0.033,0.028,0.032,0.050,0.031,0.061
0.050,0.053,0.066,0.075,0.050,0.053,0.030,0.069,0.044,0.052,0.043,0.052,0.047,0.079,0.034,0.034,0.027,0.048,0.040,0.055
0.046,0.055,0.068,0.076,0.053,0.050,0.034,0.063,0.051,0.051,0.040,0.061,0.050,0.072,0.032,0.035,0.030,0.038,0.035,0.058
0.045,0.053,0.063,0.073,0.057,0.051,0.036,0.073,0.046,0.044,0.044,0.065,0.043,0.077,0.030,0.030,0.032,0.042,0.036,0.062
0.050,0.043,0.067,0.077,0.051,0.051,0.031,0.068,0.047,0.053,0.037,0.058,0.047,0.074,0.034,0.038,0.030,0.047,0.042,0.055
0.041,0.056,0.058,0.076,0.047,0.048,0.036,0.072,0.061,0.046,0.041,0.066,0.042,0.069,0.038,0.030,0.026,0.046,0.037,0.063
0.043,0.055,0.068,0.074,0.046,0.052,0.028,0.087,0.053,0.054,0.042,0.055,0.045,0.068,0.028,0.033,0.031,0.044,0.034,0.059
0.048,0.051,0.065,0.068,0.047,0.056,0.038,0.067,0.047,0.060,0.041,0.053,0.046,0.068,0.032,0.031,0.036,0.049,0.035,0.060
0.046,0.049,0.062,0.081,0.042,0.047,0.033,0.070,0.050,0.048,0.043,0.064,0.047,0.075,0.035,0.031,0.034,0.043,0.038,0.061
0.050,0.060,0.068,0.073,0.044,0.045,0.032,0.075,0.047,0.059,0.040,0.071,0.048,0.070,0.035,0.027,0.026,0.040,0.036,0.054
