-0.196,-0.263,-0.021,0.147,-0.445,-0.262,-0.571,0.242,0.043,-0.169,-0.397,-0.141,-0.535,0.073,-0.678,-0.794,-0.741,-0.756
-0.029,0.053,0.250,0.279,-0.474,0.076,-0.554,0.456,0.078,-0.037,-0.257,0.050,-0.150,0.034,-0.425,-0.657,-0.583,-0.479
-0.004,0.119,0.218,0.460,-0.187,0.065,-0.281,0.421,0.190,-0.010,-0.280,-0.004,-0.075,0.354,-0.391,-0.731,-0.503,-0.453
0.108,0.166,0.492,0.572,-0.063,0.163,-0.197,0.748,0.318,0.119,-0.000,0.353,-0.067,0.674,-0.216,-0.364,-0.270,-0.386
0.262,0.248,0.501,0.393,-0.204,0.049,-0.423,0.527,0.213,0.100,-0.069,-0.003,-0.240,0.433,-0.416,-0.296,-0.105,-0.323
-0.009,0.216,0.320,0.380,-0.196,0.031,-0.649,0.422,0.018,-0.061,-0.029,-0.048,-0.127,0.212,-0.529,-0.368,-0.377,-0.454
-0.158,-0.100,0.144,0.234,-0.350,-0.150,-0.477,0.228,0.132,-0.418,-0.371,-0.190,-0.340,0.067,-0.978,-0.657,-0.506,-0.516
-0.151,-0.243,0.167,0.251,-0.307,-0.251,-0.638,0.330,-0.022,-0.153,-0.378,-0.047,-0.336,0.159,-0.491,-0.712,-0.563,-0.431
-0.103,-0.076,0.159,0.245,-0.391,-0.161,-0.496,0.327,-0.037,-0.107,-0.148,-0.103,-0.283,0.173,-0.358,-0.615,-0.666,-0.514
0.106,0.144,0.257,0.390,-0.171,-0.041,-0.244,0.446,0.143,0.058,-0.254,0.218,-0.127,0.358,-0.538,-0.399,-0.640,-0.400
0.075,0.160,0.411,0.383,-0.040,-0.043,-0.353,0.483,0.097,0.039,-0.273,0.105,-0.227,0.280,-0.670,-0.641,-0.691,-0.386
-0.078,0.198,0.254,0.241,-0.239,-0.045,-0.522,0.507,0.021,-0.063,-0.025,0.167,-0.117,0.252,-0.594,-0.596,-0.548,-0.557
-0.075,0.058,0.231,0.281,-0.320,0.103,-0.420,0.497,0.082,-0.153,-0.111,0.156,-0.246,0.106,-0.607,-0.633,-0.608,-0.630
-0.024,-0.071,0.164,0.310,-0.228,-0.075,-0.470,0.348,-0.048,-0.190,-0.251,-0.015,-0.430,0.221,-0.515,-0.691,-0.497,-0.642
-0.062,-0.050,0.193,0.459,-0.073,-0.110,-0.397,0.414,0.064,-0.198,-0.038,-0.069,-0.224,0.293,-0.649,-0.794,-0.428,-0.525
-0.027,-0.035,0.389,0.411,-0.215,-0.048,-0.327,0.498,0.125,0.011,-0.145,0.113,-0.309,0.289,-0.444,-0.571,-0.501,-0.459
0.075,0.195,0.467,0.413,0.016,-0.004,-0.277,0.586,0.224,-0.010,-0.095,0.126,-0.132,0.435,-0.327,-0.448,-0.510,-0.488
0.005,-0.161,0.199,0.202,-0.179,0.036,-0.354,0.295,-0.052,-0.156,-0.315,-0.076,-0.253,0.194,-0.480,-0.546,-0.671,-0.402
-0.090,-0.096,0.212,0.137,-0.406,-0.232,-0.573,0.232,-0.144,-0.257,-0.136,0.035,-0.417,0.118,-0.863,-0.767,-0.578,-0.637
0.148,0.051,0.291,0.355,-0.195,0.069,-0.467,0.440,0.228,-0.052,-0.028,0.327,-0.101,0.251,-0.478,-0.426,-0.414,-0.225
0.155,0.227,0.509,0.563,-0.109,0.077,-0.121,0.564,0.278,0.212,-0.025,0.308,0.014,0.531,-0.360,-0.277,-0.335,-0.156
0.222,0.189,0.467,0.499,0.074,0.151,-0.123,0.708,0.426,0.161,-0.009,0.333,-0.053,0.559,-0.334,-0.298,-0.287,-0.292
0.130,-0.040,0.256,0.449,-0.126,0.045,-0.213,0.481,0.021,-0.023,-0.149,0.218,-0.335,0.192,-0.329,-0.507,-0.387,-0.417
0.237,0.091,0.496,0.669,-0.015,0.100,-0.263,0.647,0.144,0.139,0.095,0.348,0.082,0.504,-0.152,-0.416,-0.180,-0.133
0.471,0.313,0.670,0.871,0.095,0.385,0.192,0.970,0.332,0.559,0.153,0.472,0.237,0.688,-0.034,-0.169,0.032,0.034
0.233,0.204,0.467,0.663,-0.050,0.213,-0.042,0.737,0.324,0.211,-0.064,0.130,0.014,0.465,-0.378,-0.253,-0.103,-0.224
0.148,0.289,0.573,0.651,0.063,0.275,-0.118,0.644,0.175,0.100,0.168,0.187,0.085,0.445,-0.144,-0.365,-0.074,-0.282
0.151,0.110,0.457,0.480,-0.156,0.156,-0.181,0.546,0.373,-0.002,-0.107,0.107,-0.020,0.438,-0.243,-0.355,-0.166,-0.152
-0.057,-0.114,0.123,0.210,-0.480,-0.039,-0.329,0.396,-0.038,-0.190,-0.119,-0.056,-0.292,0.287,-0.447,-0.533,-0.426,-0.568
-0.193,-0.079,0.153,0.365,-0.364,0.030,-0.658,0.458,0.093,0.003,-0.184,0.188,-0.286,0.170,-0.465,-0.631,-0.540,-0.607
-0.042,-0.036,0.247,0.207,-0.376,0.141,-0.378,0.448,0.145,-0.188,-0.280,0.018,-0.330,0.296,-0.524,-0.625,-0.489,-0.638
0.038,0.233,0.380,0.458,-0.100,0.189,-0.185,0.524,0.163,0.097,-0.066,0.039,0.001,0.320,-0.197,-0.425,-0.478,-0.504
0.143,-0.072,0.289,0.254,-0.368,-0.086,-0.312,0.238,0.213,-0.336,-0.111,-0.100,-0.119,0.337,-0.578,-0.598,-0.290,-0.459
-0.051,-0.085,0.172,0.309,-0.294,-0.197,-0.431,0.218,-0.080,-0.383,-0.246,0.041,-0.133,0.189,-0.486,-0.786,-0.329,-0.559
0.042,0.068,0.164,0.275,-0.343,-0.089,-0.509,0.441,-0.169,-0.278,-0.220,-0.023,-0.176,0.302,-0.476,-0.516,-0.591,-0.626
-0.147,-0.000,0.044,0.140,-0.338,-0.245,-0.629,0.189,-0.206,-0.300,-0.501,-0.108,-0.391,0.177,-0.502,-0.696,-0.629,-0.734
0.025,-0.026,0.264,0.325,-0.189,-0.009,-0.383,0.340,-0.157,-0.151,-0.336,-0.092,-0.298,0.269,-0.390,-0.649,-0.588,-0.441
0.240,0.049,0.503,0.539,-0.015,0.203,-0.393,0.618,0.064,-0.072,-0.090,0.257,-0.050,0.357,-0.433,-0.377,-0.387,-0.371
0.186,0.076,0.418,0.546,0.054,0.220,-0.187,0.475,0.117,0.045,-0.048,0.321,-0.041,0.396,-0.323,-0.424,-0.256,-0.329
-0.073,0.023,0.393,0.365,-0.374,0.100,-0.060,0.486,0.124,-0.081,0.001,0.200,-0.112,0.308,-0.238,-0.437,-0.476,-0.423
