-0.990,-0.172,-1.700,0.328,0.691
-1.053,-0.725,-1.082,1.165,-1.395
-0.167,1.772,-0.281,-1.200,-1.073
0.183,-1.195,0.920,0.690,0.487
0.845,1.791,2.007,-0.191,-2.371
-0.326,0.293,0.633,-1.188,-0.702
-1.258,0.433,0.319,-1.161,1.229
-0.022,1.439,0.039,1.196,1.355
0.307,-0.146,-1.405,0.900,-1.366
0.166,-1.197,-2.024,0.307,-0.597
-0.863,0.601,0.435,-1.259,-1.672
1.124,1.763,1.156,0.588,-0.151
-0.761,-0.294,1.259,-0.002,0.345
1.453,0.540,-2.720,0.525,-0.553
-0.770,1.492,-0.541,0.288,-0.007
-0.870,-0.726,-1.721,-1.188,0.696
0.008,1.657,1.899,0.969,1.030
-1.759,0.107,1.018,0.601,-0.548
1.341,1.289,-1.645,-0.922,-0.790
1.365,-0.120,0.884,0.340,0.266
-0.020,0.034,-1.723,-0.802,1.193
-1.500,-0.592,-2.434,0.227,-1.054
0.502,1.053,1.817,0.219,1.313
2.231,-2.079,-0.223,-1.020,1.570
-0.336,0.541,2.342,-2.381,0.293
-0.272,0.520,0.731,-0.119,-0.604
0.409,-1.155,-0.129,-0.489,0.378
-0.760,1.003,-2.083,1.194,0.274
-1.161,-1.244,-0.130,-0.742,1.251
1.253,1.764,0.172,-0.573,0.343
1.716,0.974,1.274,-1.153,0.460
-1.307,-0.418,-0.066,-0.884,-0.736
-0.821,0.616,0.477,0.512,2.019
-2.027,0.100,0.308,-0.783,0.976
0.394,-0.690,0.654,0.432,0.570
-0.259,-2.286,-1.310,-0.379,0.219
-0.524,0.203,0.184,-0.613,-0.695
-1.382,0.926,-1.415,-0.401,-2.003
-0.029,-0.047,1.920,-0.646,-0.558
1.146,-0.176,-0.228,-0.750,0.499
-1.903,1.902,0.781,1.646,0.135
-0.718,1.943,-0.224,-0.758,1.361
0.270,0.184,0.988,-0.118,0.098
1.153,-0.701,-0.279,0.365,2.964
-1.502,0.089,-0.146,-0.540,-0.620
