0.052,0.146,0.376,0.216,0.211
0.084,0.118,0.309,0.047,0.443
0.265,0.062,0.101,0.316,0.257
0.326,0.174,0.167,0.053,0.280
0.094,0.076,0.451,0.045,0.334
0.009,0.060,0.071,0.722,0.137
0.112,0.081,0.439,0.201,0.167
0.073,0.419,0.172,0.217,0.120
0.572,0.135,0.125,0.120,0.048
0.100,0.094,0.507,0.164,0.135
0.561,0.053,0.206,0.029,0.152
0.133,0.054,0.654,0.030,0.129
0.216,0.044,0.638,0.069,0.033
0.155,0.434,0.166,0.125,0.121
0.037,0.266,0.519,0.008,0.170
0.258,0.005,0.029,0.389,0.319
0.060,0.169,0.149,0.452,0.171
0.117,0.078,0.441,0.076,0.288
0.021,0.203,0.080,0.565,0.130
0.039,0.227,0.112,0.125,0.496
0.092,0.615,0.031,0.167,0.095
0.223,0.024,0.107,0.366,0.280
0.209,0.270,0.184,0.064,0.274
0.033,0.269,0.034,0.470,0.194
0.018,0.061,0.480,0.403,0.038
0.133,0.082,0.053,0.593,0.140
0.295,0.144,0.065,0.023,0.472
0.724,0.072,0.043,0.137,0.023
0.026,0.514,0.285,0.143,0.032
0.117,0.076,0.292,0.168,0.347
0.119,0.309,0.032,0.157,0.383
0.268,0.062,0.180,0.080,0.409
0.029,0.044,0.487,0.333,0.107
0.093,0.126,0.056,0.337,0.388
0.425,0.132,0.047,0.305,0.090
0.294,0.259,0.192,0.113,0.142
0.220,0.072,0.109,0.425,0.174
0.094,0.490,0.074,0.201,0.141
0.064,0.667,0.059,0.035,0.176
0.125,0.097,0.078,0.044,0.657
0.168,0.026,0.089,0.505,0.211
0.409,0.381,0.070,0.026,0.114
0.102,0.549,0.215,0.038,0.096
0.175,0.042,0.218,0.100,0.464
0.094,0.049,0.573,0.072,0.212
0.132,0.224,0.487,0.117,0.041
0.337,0.061,0.148,0.252,0.202
0.594,0.012,0.024,0.328,0.042
0.183,0.302,0.142,0.057,0.315
0.322,0.183,0.073,0.263,0.159
