-0.344,-0.431,0.031,-0.366,-0.531,-0.048,-0.654,0.067,-0.453,-0.456,-0.394,-0.180,-0.746
-0.399,-0.486,-0.085,-0.264,-0.491,0.052,-0.584,-0.165,-0.424,-0.478,-0.588,-0.183,-0.623
-0.291,-0.365,0.020,-0.235,-0.574,-0.093,-0.820,-0.018,-0.335,-0.466,-0.531,-0.130,-0.655
-0.363,-0.665,-0.289,-0.335,-0.561,-0.240,-0.720,-0.130,-0.532,-0.565,-0.592,-0.137,-0.891
-0.341,-0.548,-0.041,-0.298,-0.446,-0.078,-0.516,0.030,-0.486,-0.478,-0.566,-0.152,-0.632
-0.100,-0.350,0.149,-0.086,-0.203,0.003,-0.418,0.219,-0.375,-0.449,-0.392,0.035,-0.675
-0.077,-0.305,0.054,0.034,-0.329,0.035,-0.404,0.203,-0.342,-0.307,-0.491,0.005,-0.626
-0.048,-0.158,0.052,-0.023,-0.278,0.039,-0.413,0.110,-0.260,-0.335,-0.307,-0.102,-0.370
-0.143,-0.394,0.023,-0.009,-0.426,0.088,-0.488,0.156,-0.295,-0.457,-0.624,-0.118,-0.474
0.067,-0.089,0.327,0.176,-0.222,0.135,-0.365,0.171,-0.264,-0.065,-0.293,0.095,-0.231
-0.038,-0.114,0.246,0.056,-0.288,0.220,-0.250,0.270,-0.220,-0.122,-0.366,0.127,-0.307
-0.232,-0.102,0.153,0.001,-0.129,0.154,-0.399,0.193,-0.130,-0.314,-0.323,0.029,-0.421
-0.209,-0.482,0.087,-0.086,-0.319,-0.001,-0.355,0.071,-0.264,-0.375,-0.605,-0.068,-0.553
-0.002,-0.127,0.184,0.125,-0.292,0.037,-0.404,0.250,-0.163,-0.300,-0.407,0.198,-0.609
-0.200,-0.362,-0.081,-0.252,-0.598,-0.179,-0.550,-0.100,-0.484,-0.678,-0.627,-0.234,-0.821
-0.317,-0.634,-0.179,-0.309,-0.530,-0.260,-0.884,-0.273,-0.647,-0.604,-0.787,-0.484,-0.884
-0.536,-0.619,-0.257,-0.407,-0.689,-0.308,-0.799,-0.204,-0.653,-0.762,-0.789,-0.460,-0.826
-0.627,-0.545,-0.194,-0.434,-0.596,-0.344,-0.763,-0.203,-0.755,-0.742,-0.785,-0.434,-0.903
-0.209,-0.329,-0.140,-0.169,-0.399,-0.069,-0.458,0.055,-0.327,-0.564,-0.619,-0.194,-0.530
